Input file: knap_500.inst.dat, solution file: knap_500.sol.dat
Instances: 300, Iterations: 1500, KeepBest: 30, KeepWorst: 21, Cross: 120, MutationFactor: 0.05
Gen: 0
BestSol: 4171
GenAvgPrice: 2302.39
GenAvgWeight: 87.8833
GenError: 38.8775

Gen: 99
BestSol: 6393
GenAvgPrice: 3620.72
GenAvgWeight: 72.0867
GenError: 6.31594

Gen: 198
BestSol: 6578
GenAvgPrice: 3513.23
GenAvgWeight: 72.6633
GenError: 3.60492

Gen: 297
BestSol: 6616
GenAvgPrice: 3584.26
GenAvgWeight: 72.8633
GenError: 3.04807

Gen: 396
BestSol: 6794
GenAvgPrice: 3617.19
GenAvgWeight: 73.1767
GenError: 0.439625

Gen: 495
BestSol: 6794
GenAvgPrice: 3544.68
GenAvgWeight: 73.76
GenError: 0.439625

Gen: 594
BestSol: 6794
GenAvgPrice: 3798.8
GenAvgWeight: 71.0667
GenError: 0.439625

Gen: 693
BestSol: 6794
GenAvgPrice: 3942.39
GenAvgWeight: 73.7533
GenError: 0.439625

Gen: 792
BestSol: 6794
GenAvgPrice: 3553.46
GenAvgWeight: 73.0067
GenError: 0.439625

Gen: 891
BestSol: 6794
GenAvgPrice: 3585.11
GenAvgWeight: 72.2033
GenError: 0.439625

Gen: 990
BestSol: 6794
GenAvgPrice: 3764.19
GenAvgWeight: 73.95
GenError: 0.439625

Gen: 1089
BestSol: 6794
GenAvgPrice: 3545.47
GenAvgWeight: 75.0433
GenError: 0.439625

Gen: 1188
BestSol: 6794
GenAvgPrice: 3387.95
GenAvgWeight: 73.7433
GenError: 0.439625

Gen: 1287
BestSol: 6794
GenAvgPrice: 3529.43
GenAvgWeight: 71.7467
GenError: 0.439625

Gen: 1386
BestSol: 6806
GenAvgPrice: 3488.24
GenAvgWeight: 72.88
GenError: 0.263775

Gen: 1485
BestSol: 6806
GenAvgPrice: 3907.94
GenAvgWeight: 73.89
GenError: 0.263775

Total best: 6806
Time: 0.313729
Error: 0.263775

Gen: 0
BestSol: 18251
GenAvgPrice: 14692
GenAvgWeight: 1560.68
GenError: 45.817

Gen: 99
BestSol: 27957
GenAvgPrice: 17666.1
GenAvgWeight: 1454.03
GenError: 17.0021

Gen: 198
